customer_id,signup_date,region,age,income_band,recency_days,orders_cnt,revenue,churn_label
63,2023-05-14,East,53,Mid,71,7,2360.70,1
64,2023-12-20,East,22,Low,0,0,0,0
65,2023-05-30,East,28,Mid,202,4,1461.87,1
66,2023-04-29,South,36,High,315,3,1927.38,1
67,2023-11-27,North,50,Low,17,4,2502.69,0
68,2023-05-16,North,20,High,68,9,6295.15,1
69,2023-01-28,East,30,Low,187,4,3825.22,1
70,2023-06-21,West,33,Low,207,1,1062.92,1
71,2023-10-18,North,52,Mid,78,2,880.68,1
72,2023-03-11,East,63,High,135,8,5904.80,1
73,2023-06-18,West,46,Low,52,4,2967.16,0
74,2023-02-17,West,41,Mid,29,10,5022.32,0
75,2023-09-08,East,33,Low,92,3,887.34,1
76,2023-06-23,East,56,Mid,92,4,1754.76,1
77,2023-05-01,East,23,Mid,0,9,4322.04,0
78,2023-03-24,West,24,Low,230,3,986.51,1
79,2023-07-26,North,27,Mid,234,4,2985.75,1
80,2023-09-02,West,30,Mid,297,7,3784.39,1
81,2023-12-10,North,39,Mid,3,9,5003.10,0
82,2023-06-09,West,62,Low,173,1,794.18,1
83,2023-02-28,North,48,Low,299,4,4026.53,1
84,2023-10-31,North,36,High,120,3,2597.85,1
85,2023-08-18,North,27,Mid,83,8,4274.45,1
86,2023-09-13,South,48,Mid,338,1,11.30,1
87,2023-02-05,South,29,Mid,31,5,3994.15,0
88,2023-04-25,North,63,Mid,170,4,2084.92,1
89,2023-10-08,South,40,Low,0,0,0,0
90,2023-10-31,South,43,Mid,19,4,2912.00,0
91,2023-06-08,West,60,Mid,483,2,1111.62,1
92,2023-10-21,West,32,Low,0,0,0,0
93,2023-11-04,East,40,Low,572,1,664.41,1
94,2023-05-22,North,43,Mid,92,5,2945.59,1
95,2023-11-24,South,30,High,2,7,4077.49,0
96,2023-04-16,West,20,Mid,434,3,1253.88,1
97,2023-03-29,North,31,Low,494,3,1143.07,1
98,2023-09-07,South,23,High,240,6,4163.24,1
99,2023-08-21,West,49,Low,203,1,893.24,1
100,2023-02-21,West,18,Low,229,2,991.43,1
101,2023-10-31,South,32,High,126,9,5148.56,1
102,2023-03-14,East,59,Mid,150,6,3960.82,1
103,2023-10-21,South,44,High,57,7,6020.20,0
104,2023-01-03,West,49,Mid,3,2,206.22,0
105,2023-10-18,North,49,Mid,504,2,756.52,1
106,2023-10-15,North,32,Low,361,2,1635.83,1
107,2023-10-12,East,47,Low,0,0,0,0
108,2023-08-31,North,28,High,81,7,4777.43,1
109,2023-06-22,East,47,High,0,11,6243.92,0
110,2023-09-15,South,50,Low,0,0,0,0
111,2023-04-12,West,59,Low,56,2,1116.18,0
112,2023-10-12,West,61,Low,118,1,185.31,1
113,2023-07-22,South,19,Low,499,1,492.58,1
114,2023-06-17,West,32,High,35,10,7981.97,0
115,2023-07-04,South,43,Low,726,1,541.34,1
116,2023-07-27,South,33,Mid,42,6,2963.57,0
117,2023-01-14,North,47,High,50,7,4095.21,0
118,2023-02-21,West,58,Mid,218,4,2493.72,1
119,2023-03-31,West,30,Mid,107,7,2893.53,1
120,2023-02-11,West,59,Low,0,0,0,0
121,2023-06-10,West,59,Low,0,0,0,0
122,2023-09-01,West,60,Low,135,2,891.95,1
123,2023-08-27,North,21,Low,290,3,1536.75,1
124,2023-06-21,West,31,Low,186,2,573.43,1
125,2023-11-09,East,23,Low,354,1,1799.31,1
126,2023-07-26,South,23,Low,299,2,634.83,1
127,2023-01-29,East,20,Low,115,2,2091.45,1
128,2023-10-07,South,38,High,4,10,5836.99,0
129,2023-07-29,South,22,Low,129,3,2617.58,1
130,2023-08-20,North,31,Low,151,3,2976.70,1
131,2023-07-26,North,64,High,155,15,9342.49,1
132,2023-07-22,South,59,Low,297,1,656.68,1
133,2023-02-03,West,62,Mid,1,5,4164.33,0
134,2023-07-24,East,19,Mid,136,5,2800.33,1
135,2023-10-18,East,49,Mid,11,9,5666.42,0
136,2023-04-21,South,47,Low,66,4,1812.31,1
137,2023-08-09,South,24,Mid,24,5,2765.84,0
138,2023-01-12,North,60,Mid,25,6,2607.54,0
139,2023-05-07,West,37,Low,140,3,1643.71,1
140,2023-06-09,North,63,Low,89,3,1799.74,1
141,2023-12-25,East,23,Low,0,0,0,0
142,2023-03-20,West,48,Mid,31,4,2546.91,0
143,2023-04-11,East,24,Low,123,3,1915.49,1
144,2023-05-30,West,62,Low,85,2,1247.31,1
145,2023-12-29,South,46,Mid,100,9,4203.30,1
146,2023-11-08,West,21,High,52,5,2891.52,0
147,2023-01-13,East,28,Low,371,5,4047.80,1
148,2023-03-27,West,34,Low,118,3,1342.78,1
149,2023-10-27,East,18,Mid,48,3,1949.09,0
150,2023-01-22,West,18,Mid,292,4,1508.26,1
151,2023-11-09,West,61,Mid,403,4,2646.44,1
152,2023-04-13,South,64,High,68,14,8112.65,1
153,2023-12-01,West,43,Low,204,1,255.58,1
154,2023-04-18,East,60,Low,357,2,623.61,1
155,2023-06-08,South,48,Low,210,5,3982.90,1
156,2023-08-30,West,19,Low,32,2,1030.58,0
157,2023-02-16,South,51,Mid,264,4,2476.13,1
158,2023-07-23,East,18,Mid,22,5,1890.11,0
159,2023-07-04,North,56,Low,0,0,0,0
160,2023-10-14,North,35,Mid,91,7,4383.64,1
161,2023-12-30,West,24,Low,67,3,1594.02,1
162,2023-08-31,South,30,Mid,323,2,971.68,1
163,2023-05-30,South,50,Low,0,0,0,0
164,2023-05-29,North,57,Mid,122,3,2678.12,1
165,2023-06-02,South,44,Low,177,1,562.17,1
166,2023-10-25,West,25,High,55,12,10040.69,0
167,2023-04-28,West,60,High,110,7,4168.56,1
168,2023-03-02,North,55,Mid,202,3,2591.40,1
169,2023-05-03,East,37,High,74,5,3169.76,1
170,2023-01-09,South,44,Low,0,0,0,0
171,2023-02-08,East,63,Mid,66,5,3959.60,1
172,2023-02-02,South,35,Low,569,1,239.78,1
173,2023-10-09,South,19,High,72,15,11081.33,1
174,2023-09-21,South,24,Low,88,2,1258.84,1
175,2023-09-12,East,46,Low,403,3,2020.13,1
176,2023-06-18,East,64,Mid,6,5,2630.35,0
177,2023-09-19,South,52,Low,481,2,1422.63,1
178,2023-02-28,West,47,Mid,348,5,2943.78,1
179,2023-11-25,East,33,Low,113,3,1767.86,1
180,2023-07-02,South,38,Mid,4,9,5838.65,0
181,2023-12-09,West,19,High,1,10,5526.54,0
182,2023-02-25,West,35,Mid,2,4,2739.31,0
183,2023-07-01,North,47,Low,52,3,566.88,0
184,2023-09-12,East,60,Low,149,3,1604.08,1
185,2023-06-30,South,61,Low,469,1,354.51,1
186,2023-06-12,East,56,Low,69,1,59.12,1
187,2023-03-02,North,19,Mid,640,1,126.65,1
188,2023-05-20,East,56,Low,482,1,523.49,1
189,2023-03-29,South,28,Low,75,2,927.78,1
190,2023-04-21,East,46,Low,13,2,1067.69,0
191,2023-09-07,West,62,High,98,5,4164.93,1
192,2023-08-19,South,59,Low,89,6,4307.16,1
193,2023-08-10,West,49,Low,112,3,3253.21,1
194,2023-05-13,West,32,Mid,0,8,5629.88,0
195,2023-12-17,West,42,Low,141,1,245.04,1
196,2023-02-01,North,51,High,176,6,3679.81,1
197,2023-05-06,West,42,Low,138,2,1502.25,1
198,2023-02-13,North,37,Mid,287,3,2703.39,1
199,2023-05-04,South,36,Mid,103,5,3149.13,1
200,2023-12-18,West,46,Mid,8,6,3158.82,0
201,2023-05-14,East,19,Mid,9,3,2879.01,0
202,2023-11-28,East,64,Mid,112,2,2082.46,1
203,2023-06-30,South,22,Mid,125,6,3419.53,1
204,2023-09-13,West,64,Mid,89,5,2339.87,1
205,2023-06-16,East,19,Mid,49,8,4409.89,0
206,2023-04-08,South,42,Mid,90,2,1105.80,1
207,2023-10-06,West,37,Mid,8,10,5672.13,0
208,2023-12-20,North,44,Low,60,2,1199.82,0
209,2023-04-07,North,38,Low,58,2,1218.57,0
210,2023-10-12,East,60,Low,157,1,476.33,1
211,2023-04-06,West,18,Low,83,4,2901.84,1
212,2023-09-19,North,64,Mid,690,1,440.61,1
213,2023-10-15,North,50,Low,8,3,781.52,0
214,2023-06-14,North,54,Mid,91,6,3153.21,1
215,2023-09-26,West,24,Mid,145,7,2856.53,1
216,2023-04-10,North,21,Mid,83,4,3391.98,1
217,2023-01-29,East,36,Mid,325,4,2354.08,1
218,2023-02-05,West,33,Low,151,5,3795.43,1
219,2023-06-13,North,54,Low,76,5,1359.61,1
220,2023-11-26,East,60,Mid,5,3,1835.68,0
221,2023-02-16,East,38,Mid,172,4,1996.28,1
222,2023-06-16,West,54,Mid,6,3,2577.70,0
223,2023-09-14,South,20,Mid,60,5,2455.25,0
224,2023-03-15,South,52,Mid,87,7,4536.73,1
225,2023-09-21,North,22,Mid,53,4,1803.22,0
226,2023-04-22,East,49,Mid,304,6,4113.73,1
227,2023-10-23,West,35,Mid,22,3,2275.24,0
228,2023-07-31,North,37,Low,58,2,1191.89,0
229,2023-07-19,South,30,Low,298,3,1739.64,1
230,2023-03-06,West,36,Low,210,2,1437.15,1
231,2023-06-19,North,59,Mid,122,9,5608.98,1
232,2023-11-09,South,56,Mid,17,2,1482.05,0
233,2023-01-08,East,33,Low,203,5,1977.99,1
234,2023-10-04,South,31,Low,57,3,882.91,0
235,2023-06-29,South,41,Mid,0,0,0,0
236,2023-09-20,South,50,Low,511,2,1312.88,1
237,2023-08-31,North,26,Mid,75,5,1824.22,1
238,2023-06-07,East,52,Low,342,3,1314.57,1
239,2023-04-23,East,62,Low,248,4,3709.98,1
240,2023-08-17,East,57,Mid,309,1,616.52,1
241,2023-02-21,North,43,Low,126,1,857.41,1
242,2023-08-02,West,33,Low,122,7,3513.00,1
243,2023-02-04,North,33,Low,303,2,1541.89,1
244,2023-08-26,West,52,Low,227,1,622.83,1
245,2023-08-18,South,39,Low,384,2,1731.79,1
246,2023-01-31,West,23,Mid,2,8,3342.51,0
247,2023-10-04,North,49,Low,0,0,0,0
248,2023-06-01,North,24,Low,59,1,641.69,0
249,2023-10-15,South,64,Low,641,1,364.68,1
250,2023-01-16,North,37,High,222,4,3195.77,1
251,2023-03-07,North,34,Mid,199,1,1258.90,1
252,2023-06-30,East,20,High,92,8,4006.69,1
253,2023-03-10,West,25,High,87,9,4500.46,1
254,2023-05-01,North,62,Low,320,3,1507.91,1
255,2023-08-30,West,43,Mid,24,6,3512.33,0
256,2023-02-22,West,60,Low,279,3,2122.27,1
257,2023-09-05,West,62,High,65,8,4467.77,1
258,2023-02-07,East,20,Mid,55,6,4628.98,0
259,2023-03-05,East,35,Low,224,1,206.41,1
260,2023-08-03,East,57,High,49,7,4251.10,0
261,2023-10-17,East,41,Mid,29,9,5993.74,0
262,2023-03-04,West,41,High,48,5,3364.37,0
263,2023-04-20,North,44,Low,113,3,665.62,1
264,2023-12-04,South,50,Low,332,1,474.45,1
265,2023-12-28,North,62,Low,60,1,780.45,0
266,2023-08-01,West,59,Mid,276,3,1783.83,1
267,2023-06-13,South,47,Mid,85,5,3357.85,1
268,2023-05-07,East,45,Low,142,4,1931.57,1
269,2023-08-12,West,34,Mid,1,3,2506.29,0
270,2023-08-04,West,23,Low,202,2,905.63,1
271,2023-04-18,North,51,Mid,315,6,4201.32,1
272,2023-01-09,West,18,High,223,11,6083.17,1
273,2023-02-25,West,50,Mid,167,3,558.87,1
274,2023-12-16,North,41,Low,128,3,1233.30,1
275,2023-06-02,West,54,Low,22,4,3558.61,0
276,2023-06-26,South,62,Low,122,4,1259.20,1
277,2023-06-20,East,43,Mid,99,5,3838.63,1
278,2023-10-13,East,44,Mid,188,4,1039.67,1
279,2023-01-24,South,40,Low,31,2,1506.73,0
280,2023-01-31,North,35,High,40,9,5978.84,0
281,2023-04-11,North,22,Mid,472,4,1615.41,1
282,2023-06-27,North,19,Mid,12,5,2927.32,0
283,2023-09-02,East,51,Mid,76,3,1550.26,1
284,2023-06-29,South,61,High,185,3,1155.45,1
285,2023-06-11,North,20,Low,79,5,3024.90,1
286,2023-12-09,East,33,Low,379,1,295.06,1
287,2023-02-28,East,46,High,10,6,4131.35,0
288,2023-07-28,East,51,High,115,9,9231.88,1
289,2023-07-17,West,52,Mid,158,6,4643.38,1
290,2023-06-22,South,50,Low,104,1,193.44,1
291,2023-10-22,West,21,Low,407,1,406.28,1
292,2023-04-08,North,29,Mid,144,6,3714.93,1
293,2023-12-15,East,40,Mid,479,3,1714.27,1
294,2023-05-02,West,20,Low,298,3,1064.60,1
295,2023-07-18,West,34,Low,69,3,1762.73,1
296,2023-07-10,East,36,Mid,503,1,835.24,1
297,2023-11-07,East,63,Mid,79,5,3340.57,1
298,2023-06-10,South,32,Mid,5,10,5712.24,0
299,2023-04-14,East,63,Mid,25,6,3705.04,0
300,2023-01-08,West,50,High,41,12,7923.66,0
301,2023-05-13,West,50,Low,169,1,801.05,1
302,2023-10-29,South,56,Mid,174,8,4395.03,1
303,2023-01-04,North,57,Mid,108,4,1074.81,1
304,2023-11-24,East,28,Mid,202,4,2477.75,1
305,2023-07-18,North,37,High,352,6,4672.26,1
306,2023-02-21,North,42,Mid,56,3,1476.39,0
307,2023-04-21,South,63,Mid,430,2,1875.79,1
308,2023-07-22,East,19,Low,155,5,2982.53,1
309,2023-04-26,North,40,Mid,21,9,6259.20,0
310,2023-02-09,North,28,Low,16,2,832.38,0
311,2023-09-01,North,27,Low,60,1,1001.65,0
312,2023-09-03,West,53,Mid,20,3,1635.79,0
313,2023-02-13,East,27,Mid,58,5,2594.63,0
314,2023-04-13,North,55,High,26,11,6694.19,0
315,2023-03-31,North,64,Mid,83,7,3999.17,1
316,2023-08-29,East,54,Mid,36,4,2387.48,0
317,2023-09-24,South,25,Low,437,1,462.34,1
318,2023-09-23,East,24,Mid,178,3,1491.48,1
319,2023-12-09,South,38,High,98,8,6037.13,1
320,2023-10-08,West,43,Mid,207,2,1283.28,1
321,2023-04-28,South,54,Mid,124,3,2631.58,1
322,2023-02-09,East,37,Mid,188,6,3061.46,1
323,2023-08-13,North,25,Low,408,1,802.24,1
324,2023-12-01,West,64,Mid,40,4,2043.53,0
325,2023-12-22,West,60,Low,465,1,699.56,1
326,2023-03-26,East,48,Low,68,3,2390.32,1
327,2023-03-28,South,50,Low,242,2,1683.93,1
328,2023-01-14,North,61,Low,350,1,1018.14,1
329,2023-02-21,West,40,Low,120,2,752.44,1
330,2023-07-22,East,24,High,38,10,6083.80,0
331,2023-07-19,North,46,Low,167,6,1837.18,1
332,2023-05-16,South,39,Mid,376,3,2212.83,1
333,2023-04-24,South,55,Mid,217,1,1166.76,1
334,2023-10-30,West,54,Low,106,6,2916.62,1
335,2023-06-17,East,40,Low,0,0,0,0
336,2023-10-23,East,35,High,254,7,3497.33,1
337,2023-12-18,East,37,Mid,160,7,4065.27,1
338,2023-04-26,South,47,High,83,8,5236.94,1
339,2023-03-15,South,47,Low,421,1,930.00,1
340,2023-12-14,North,42,Mid,544,1,1027.60,1
341,2023-08-20,West,42,Mid,15,8,4154.00,0
342,2023-04-17,South,64,High,24,5,2778.20,0
343,2023-08-15,South,29,Low,638,1,607.10,1
344,2023-07-07,North,26,High,128,8,4106.96,1
345,2023-11-27,North,55,Low,0,4,2507.53,0
346,2023-04-04,East,61,Mid,20,3,1227.11,0
347,2023-12-28,North,46,Mid,237,7,4960.07,1
348,2023-12-08,North,36,Mid,101,4,2274.99,1
349,2023-03-07,West,34,Low,187,2,960.07,1
350,2023-03-02,South,39,Mid,41,6,2144.15,0
351,2023-07-14,South,20,Low,61,5,2954.00,1
352,2023-01-17,South,42,Mid,309,2,763.49,1
353,2023-04-20,West,30,Mid,230,3,2264.69,1
354,2023-06-08,South,30,Mid,351,4,1982.40,1
355,2023-12-20,West,44,Mid,81,7,4260.44,1
356,2023-12-29,West,63,Mid,89,3,1594.39,1
357,2023-02-25,East,27,Mid,15,9,6645.64,0
358,2023-11-22,South,60,Mid,59,5,2759.51,0
359,2023-02-03,East,42,Mid,117,4,1700.10,1
360,2023-10-01,South,63,Mid,133,3,2782.94,1
361,2023-11-05,South,35,Mid,35,7,4284.92,0
362,2023-11-22,East,64,Mid,17,7,4555.74,0
363,2023-03-23,South,49,Low,270,2,1416.13,1
364,2023-11-23,North,49,Mid,165,4,2181.76,1
365,2023-02-12,South,44,Low,228,4,2296.78,1
366,2023-07-09,North,39,Low,31,4,2009.58,0
367,2023-06-21,South,42,Mid,267,2,1443.70,1
368,2023-04-26,East,57,Mid,135,8,3231.45,1
369,2023-01-09,West,55,Mid,145,4,2997.52,1
370,2023-10-09,North,19,High,79,7,4611.71,1
371,2023-05-03,East,50,Low,7,2,1314.83,0
372,2023-08-30,South,57,Low,0,0,0,0
373,2023-05-30,North,52,Low,347,1,23.54,1
374,2023-05-17,North,41,Low,436,1,851.83,1
375,2023-11-20,North,33,Mid,352,3,2402.30,1
376,2023-02-04,North,49,Mid,277,5,1954.67,1
377,2023-09-26,South,49,Mid,43,6,3441.14,0
378,2023-09-30,South,35,Low,329,2,621.33,1
379,2023-05-19,East,37,Mid,254,3,2996.11,1
380,2023-04-06,North,35,Low,709,1,617.32,1
381,2023-01-02,North,20,Mid,102,3,1205.31,1
382,2023-12-08,North,19,Mid,311,4,3088.98,1
383,2023-12-12,East,21,Low,59,4,3240.98,0
384,2023-03-29,South,37,Mid,380,2,1249.88,1
385,2023-01-12,East,41,Mid,44,10,6879.51,0
386,2023-02-14,North,37,Low,455,3,1683.90,1
387,2023-01-25,North,62,Mid,9,7,4879.47,0
388,2023-10-31,West,28,Mid,13,9,7412.22,0
389,2023-11-22,North,36,Low,501,1,738.98,1
390,2023-02-25,North,29,Low,132,3,2228.42,1
391,2023-09-30,North,32,Mid,230,2,1378.88,1
392,2023-03-07,West,45,High,81,9,7058.31,1
393,2023-05-15,East,32,Mid,50,7,4025.93,0
394,2023-08-07,East,32,Mid,25,9,6723.99,0
395,2023-09-20,West,49,Mid,226,1,889.29,1
396,2023-11-16,North,57,Mid,698,2,948.03,1
397,2023-01-17,West,27,Low,49,4,1571.31,0
398,2023-03-13,North,23,Low,628,1,950.43,1
399,2023-04-13,East,29,High,146,14,6451.15,1
400,2023-04-24,South,45,Mid,328,3,2113.12,1
401,2023-12-31,South,63,High,123,7,5661.74,1
402,2023-10-11,West,25,Low,141,9,3501.49,1
403,2023-04-27,North,20,Mid,189,8,4422.29,1
404,2023-12-21,West,42,Mid,190,5,2607.77,1
405,2023-07-02,South,64,Low,431,1,427.38,1
406,2023-07-02,East,43,Low,490,1,784.58,1
407,2023-06-08,West,61,Mid,107,7,4564.23,1
408,2023-02-22,North,48,Mid,205,2,638.89,1
409,2023-12-08,West,19,Mid,277,3,1387.37,1
410,2023-01-06,East,38,Low,286,2,1379.65,1
411,2023-03-05,East,54,Mid,12,3,1500.63,0
412,2023-03-25,North,41,Low,316,2,931.63,1
413,2023-04-12,East,27,Low,22,3,1882.46,0
414,2023-02-18,East,26,Mid,40,8,8179.05,0
415,2023-01-07,South,49,Low,4,2,1216.48,0
416,2023-09-05,North,39,High,37,6,3129.62,0
417,2023-12-20,North,44,Mid,238,4,2363.77,1
418,2023-02-14,West,35,Low,706,1,471.50,1
419,2023-04-19,North,33,Low,407,3,700.77,1
420,2023-07-04,East,49,Mid,122,5,2902.29,1
421,2023-12-05,West,18,Low,30,3,1096.28,0
422,2023-09-11,North,38,Low,0,0,0,0
423,2023-10-07,North,35,Mid,206,5,3934.92,1
424,2023-08-01,East,54,Low,273,2,965.76,1
425,2023-06-02,North,52,Mid,302,3,2759.27,1
426,2023-03-14,East,38,Mid,217,5,3063.03,1
427,2023-11-12,East,30,Low,232,1,607.17,1
428,2023-10-21,East,29,Mid,117,8,5790.25,1
429,2023-01-10,South,27,Mid,103,6,4984.55,1
430,2023-09-19,East,30,Mid,26,5,2923.74,0
431,2023-01-31,East,53,Low,235,4,1799.86,1
432,2023-09-27,North,20,Mid,75,6,3431.75,1
433,2023-10-29,East,19,Low,0,0,0,0
434,2023-02-17,West,43,Mid,56,7,3887.38,0
435,2023-06-08,East,28,Low,298,5,2326.39,1
436,2023-02-15,South,57,High,13,11,6971.41,0
437,2023-07-27,South,53,Low,155,2,922.59,1
438,2023-12-05,North,54,High,47,8,2083.37,0
439,2023-01-30,North,39,High,109,10,6037.64,1
440,2023-05-26,North,38,Mid,104,4,1485.40,1
441,2023-12-22,West,38,Low,20,3,1331.93,0
442,2023-04-20,North,27,Low,5,5,3523.67,0
443,2023-02-18,West,44,High,38,12,5511.50,0
444,2023-06-28,North,58,Mid,39,6,3605.87,0
445,2023-07-05,South,30,Mid,28,4,2103.78,0
446,2023-08-30,South,20,Low,90,1,603.19,1
447,2023-04-25,South,44,Mid,239,7,4670.45,1
448,2023-12-15,West,36,Low,226,3,1989.11,1
449,2023-07-10,West,55,Low,331,2,1009.88,1
450,2023-04-15,West,58,Low,605,1,286.08,1
451,2023-12-17,North,62,Mid,273,4,3383.88,1
452,2023-12-04,West,36,High,172,5,3174.22,1
453,2023-07-02,North,60,Mid,179,8,5331.58,1
454,2023-01-10,West,23,Low,195,3,1608.13,1
455,2023-08-06,East,35,Low,352,2,2081.95,1
456,2023-07-22,South,30,Mid,102,5,3133.81,1
457,2023-02-24,North,61,Mid,128,9,4700.20,1
458,2023-08-20,North,46,Low,266,2,965.83,1
459,2023-11-03,North,35,Low,0,0,0,0
460,2023-02-08,West,25,Mid,457,4,1768.77,1
461,2023-09-22,West,54,High,236,9,6601.01,1
462,2023-02-21,West,48,Mid,433,2,2797.25,1
463,2023-10-01,North,58,Low,72,3,1819.16,1
464,2023-06-02,East,38,Mid,19,4,2357.60,0
465,2023-01-03,South,25,Low,47,4,1866.53,0
466,2023-12-19,East,33,High,127,9,3253.71,1
467,2023-03-02,South,47,Low,427,2,1870.76,1
468,2023-08-06,South,29,Low,12,3,2359.72,0
469,2023-03-08,East,21,Mid,354,1,402.93,1
470,2023-12-07,North,56,Low,512,1,774.62,1
471,2023-09-27,South,42,Low,79,3,3069.14,1
472,2023-10-21,East,36,Mid,202,5,2183.25,1
473,2023-06-07,North,43,Mid,38,1,1401.56,0
474,2023-06-20,West,52,Mid,85,2,1116.72,1
475,2023-08-20,East,18,Low,83,2,804.70,1
476,2023-10-14,West,38,Low,179,3,1179.24,1
477,2023-11-06,East,29,Mid,593,1,454.62,1
478,2023-01-07,East,22,Mid,73,4,1604.80,1
479,2023-08-31,East,19,Low,81,2,1240.75,1
480,2023-02-09,West,38,High,47,6,3619.66,0
481,2023-04-16,East,43,High,50,12,9564.91,0
482,2023-10-30,South,41,Low,216,1,77.05,1
483,2023-04-02,North,54,Mid,197,3,1533.53,1
484,2023-10-18,East,39,Mid,115,7,4023.76,1
485,2023-06-18,North,45,Low,235,1,767.99,1
486,2023-03-26,North,56,Mid,56,6,3466.82,0
487,2023-05-02,North,48,Low,292,3,1343.10,1
488,2023-07-13,East,60,Low,209,5,3123.88,1
489,2023-10-07,North,28,High,116,6,3140.27,1
490,2023-08-10,East,54,Mid,83,4,2387.60,1
491,2023-12-07,West,50,Low,133,2,2238.86,1
492,2023-11-13,West,45,Mid,30,5,5002.71,0
493,2023-10-02,South,18,High,90,5,4466.93,1
494,2023-08-09,East,43,Mid,97,7,5643.32,1
495,2023-04-16,East,58,High,536,1,520.72,1
496,2023-05-31,South,48,High,45,14,8754.03,0
497,2023-02-13,East,18,Low,136,2,1077.95,1
498,2023-05-17,North,31,Mid,171,5,1953.87,1
499,2023-12-05,West,44,Mid,28,6,3796.96,0
500,2023-06-05,North,56,Mid,88,9,6612.20,1
501,2023-02-11,West,38,Low,277,4,2953.88,1
502,2023-08-26,East,58,Low,181,1,527.47,1
503,2023-12-18,North,55,Low,190,1,267.09,1
504,2023-11-13,East,30,Mid,11,9,7345.56,0
505,2023-04-11,North,27,Mid,117,5,2144.73,1
506,2023-06-15,West,60,Mid,282,3,1387.09,1
507,2023-07-13,East,45,Mid,9,8,4262.15,0
508,2023-04-01,North,57,Low,706,1,250.10,1
509,2023-04-09,North,61,Low,340,1,657.22,1
510,2023-03-28,West,37,Mid,123,7,5562.60,1
511,2023-12-30,South,20,Mid,34,10,6213.97,0
512,2023-09-30,West,60,Mid,108,6,2542.77,1
513,2023-11-03,West,45,Low,0,0,0,0
514,2023-10-26,East,23,Mid,190,2,2037.87,1
515,2023-12-17,South,42,High,8,10,5960.64,0
516,2023-02-08,East,19,Low,603,1,458.42,1
